,Date,Strike Price,Closing Price
0,2022-08-19,70,0.56
1,2022-08-19,75,
2,2022-08-19,80,
3,2022-08-19,85,
4,2022-08-19,90,
5,2022-08-19,95,1.91
6,2022-08-19,100,
7,2022-08-19,105,2.73
8,2022-08-19,110,3.3
9,2022-08-19,115,3.85
10,2022-08-19,120,4.65
11,2022-08-19,125,5.45
12,2022-08-19,130,6.35
13,2022-08-19,135,7.35
14,2022-08-19,140,8.35
15,2022-08-19,145,9.75
16,2022-08-19,150,11.2
17,2022-08-19,155,12.75
18,2022-08-19,160,14.5
19,2022-08-19,165,
20,2022-08-19,170,18.62
21,2022-08-19,175,20.9
22,2022-08-19,180,23.25
23,2022-08-19,185,25.95
24,2022-08-19,190,28.85
25,2022-08-19,195,
26,2022-08-19,200,
27,2022-08-19,205,
28,2022-08-19,210,42.75
29,2022-08-19,220,
30,2022-08-19,230,58.5
31,2022-08-19,240,67.5
32,2022-08-19,250,76.91
33,2022-08-19,260,
34,2022-08-19,270,97.25
35,2022-08-19,280,
36,2022-08-19,290,118.35
37,2022-08-19,300,
38,2022-08-20,70,
39,2022-08-20,75,
40,2022-08-20,80,
41,2022-08-20,85,
42,2022-08-20,90,
43,2022-08-20,95,
44,2022-08-20,100,
45,2022-08-20,105,
46,2022-08-20,110,
47,2022-08-20,115,
48,2022-08-20,120,
49,2022-08-20,125,
50,2022-08-20,130,
51,2022-08-20,135,
52,2022-08-20,140,
53,2022-08-20,145,
54,2022-08-20,150,
55,2022-08-20,155,
56,2022-08-20,160,
57,2022-08-20,165,
58,2022-08-20,170,
59,2022-08-20,175,
60,2022-08-20,180,
61,2022-08-20,185,
62,2022-08-20,190,
63,2022-08-20,195,
64,2022-08-20,200,
65,2022-08-20,205,
66,2022-08-20,210,
67,2022-08-20,220,
68,2022-08-20,230,
69,2022-08-20,240,
70,2022-08-20,250,
71,2022-08-20,260,
72,2022-08-20,270,
73,2022-08-20,280,
74,2022-08-20,290,
75,2022-08-20,300,
76,2022-08-21,70,
77,2022-08-21,75,
78,2022-08-21,80,
79,2022-08-21,85,
80,2022-08-21,90,
81,2022-08-21,95,
82,2022-08-21,100,
83,2022-08-21,105,
84,2022-08-21,110,
85,2022-08-21,115,
86,2022-08-21,120,
87,2022-08-21,125,
88,2022-08-21,130,
89,2022-08-21,135,
90,2022-08-21,140,
91,2022-08-21,145,
92,2022-08-21,150,
93,2022-08-21,155,
94,2022-08-21,160,
95,2022-08-21,165,
96,2022-08-21,170,
97,2022-08-21,175,
98,2022-08-21,180,
99,2022-08-21,185,
100,2022-08-21,190,
101,2022-08-21,195,
102,2022-08-21,200,
103,2022-08-21,205,
104,2022-08-21,210,
105,2022-08-21,220,
106,2022-08-21,230,
107,2022-08-21,240,
108,2022-08-21,250,
109,2022-08-21,260,
110,2022-08-21,270,
111,2022-08-21,280,
112,2022-08-21,290,
113,2022-08-21,300,
114,2022-08-22,70,0.6
115,2022-08-22,75,0.79
116,2022-08-22,80,1.09
117,2022-08-22,85,1.3
118,2022-08-22,90,1.65
119,2022-08-22,95,2
120,2022-08-22,100,2.56
121,2022-08-22,105,2.96
122,2022-08-22,110,3.55
123,2022-08-22,115,4.35
124,2022-08-22,120,5.2
125,2022-08-22,125,5.79
126,2022-08-22,130,
