,Date,Strike Price,Closing Price
0,2022-08-19,50.0,
1,2022-08-19,52.0,
2,2022-08-19,53.0,0.65
3,2022-08-19,54.0,
4,2022-08-19,55.0,0.72
5,2022-08-19,56.0,
6,2022-08-19,57.0,0.8
7,2022-08-19,58.0,
8,2022-08-19,59.0,
9,2022-08-19,60.0,
10,2022-08-19,61.0,
11,2022-08-19,62.0,
12,2022-08-19,63.0,
13,2022-08-19,64.0,
14,2022-08-19,65.0,1.25
15,2022-08-19,66.0,
16,2022-08-19,67.0,
17,2022-08-19,68.0,1.4
18,2022-08-19,69.0,1.49
19,2022-08-19,70.0,
20,2022-08-19,71.0,
21,2022-08-19,72.0,
22,2022-08-19,72.5,
23,2022-08-19,73.0,
24,2022-08-19,74.0,
25,2022-08-19,75.0,2
26,2022-08-19,76.0,
27,2022-08-19,77.0,
28,2022-08-19,77.5,
29,2022-08-19,78.0,
30,2022-08-19,79.0,
31,2022-08-19,80.0,
32,2022-08-19,81.0,
33,2022-08-19,82.0,
34,2022-08-19,82.5,
35,2022-08-19,83.0,2.84
36,2022-08-19,84.0,
37,2022-08-19,85.0,
38,2022-08-19,86.0,
39,2022-08-19,87.0,
40,2022-08-19,87.5,
41,2022-08-19,88.0,
42,2022-08-19,89.0,
43,2022-08-19,90.0,
44,2022-08-19,91.0,
45,2022-08-19,92.0,
46,2022-08-19,92.5,
47,2022-08-19,93.0,
48,2022-08-19,94.0,
49,2022-08-19,95.0,
50,2022-08-19,96.0,
51,2022-08-19,97.0,
52,2022-08-19,97.5,
53,2022-08-19,98.0,
54,2022-08-19,99.0,
55,2022-08-19,100.0,5.66
56,2022-08-19,102.5,
57,2022-08-19,105.0,
58,2022-08-19,107.5,7.37
59,2022-08-19,110.0,8.1
60,2022-08-19,112.5,
61,2022-08-19,115.0,9.46
62,2022-08-19,117.5,
63,2022-08-19,120.0,10.86
64,2022-08-19,122.5,
65,2022-08-19,125.0,12.9
66,2022-08-19,127.5,
67,2022-08-19,130.0,14.8
68,2022-08-19,132.5,
69,2022-08-19,135.0,
70,2022-08-19,137.5,18.15
71,2022-08-19,140.0,19.42
72,2022-08-19,142.5,
73,2022-08-19,145.0,21.19
74,2022-08-19,147.5,
75,2022-08-19,150.0,
76,2022-08-19,152.5,
77,2022-08-19,155.0,
78,2022-08-19,157.5,
79,2022-08-19,160.0,
80,2022-08-19,162.5,
81,2022-08-19,165.0,
82,2022-08-19,167.5,
83,2022-08-19,170.0,
84,2022-08-19,172.5,
85,2022-08-19,175.0,
86,2022-08-19,177.5,
87,2022-08-19,180.0,
88,2022-08-19,182.5,
89,2022-08-19,185.0,
90,2022-08-19,187.5,
91,2022-08-19,190.0,
92,2022-08-19,192.5,
93,2022-08-19,195.0,
94,2022-08-19,197.5,
95,2022-08-19,200.0,
96,2022-08-19,202.5,
97,2022-08-19,205.0,
98,2022-08-19,207.5,
99,2022-08-19,210.0,
100,2022-08-19,215.0,
101,2022-08-19,220.0,
102,2022-08-19,225.0,
103,2022-08-19,230.0,
104,2022-08-19,235.0,
105,2022-08-19,240.0,
106,2022-08-19,245.0,
107,2022-08-19,250.0,
108,2022-08-20,50.0,
109,2022-08-20,52.0,
110,2022-08-20,53.0,
111,2022-08-20,54.0,
112,2022-08-20,55.0,
113,2022-08-20,56.0,
114,2022-08-20,57.0,
115,2022-08-20,58.0,
116,2022-08-20,59.0,
117,2022-08-20,60.0,
118,2022-08-20,61.0,
119,2022-08-20,62.0,
120,2022-08-20,63.0,
121,2022-08-20,64.0,
122,2022-08-20,65.0,
123,2022-08-20,66.0,
124,2022-08-20,67.0,
125,2022-08-20,68.0,
126,2022-08-20,69.0,
127,2022-08-20,70.0,
128,2022-08-20,71.0,
129,2022-08-20,72.0,
