,Date,Strike Price,Closing Price
0,2022-08-19,45.0,
1,2022-08-19,50.0,
2,2022-08-19,52.0,0.6
3,2022-08-19,53.0,0.69
4,2022-08-19,54.0,0.56
5,2022-08-19,55.0,
6,2022-08-19,56.0,
7,2022-08-19,57.0,
8,2022-08-19,57.5,
9,2022-08-19,58.0,
10,2022-08-19,59.0,
11,2022-08-19,60.0,
12,2022-08-19,61.0,
13,2022-08-19,62.0,
14,2022-08-19,62.5,
15,2022-08-19,63.0,
16,2022-08-19,64.0,
17,2022-08-19,65.0,1.28
18,2022-08-19,66.0,
19,2022-08-19,67.0,1.45
20,2022-08-19,67.5,
21,2022-08-19,68.0,
22,2022-08-19,69.0,
23,2022-08-19,70.0,
24,2022-08-19,71.0,
25,2022-08-19,72.0,
26,2022-08-19,72.5,
27,2022-08-19,73.0,
28,2022-08-19,74.0,
29,2022-08-19,75.0,2.27
30,2022-08-19,76.0,
31,2022-08-19,77.0,
32,2022-08-19,77.5,
33,2022-08-19,78.0,
34,2022-08-19,79.0,
35,2022-08-19,80.0,2.91
36,2022-08-19,81.0,
37,2022-08-19,82.0,
38,2022-08-19,82.5,3.2
39,2022-08-19,83.0,
40,2022-08-19,84.0,
41,2022-08-19,85.0,3.8
42,2022-08-19,86.0,
43,2022-08-19,87.0,
44,2022-08-19,87.5,4
45,2022-08-19,88.0,
46,2022-08-19,89.0,
47,2022-08-19,90.0,4.7
48,2022-08-19,91.0,
49,2022-08-19,92.0,
50,2022-08-19,92.5,
51,2022-08-19,93.0,
52,2022-08-19,94.0,
53,2022-08-19,95.0,
54,2022-08-19,96.0,
55,2022-08-19,97.0,
56,2022-08-19,97.5,
57,2022-08-19,98.0,
58,2022-08-19,99.0,
59,2022-08-19,100.0,
60,2022-08-19,102.0,
61,2022-08-19,105.0,8.43
62,2022-08-19,107.0,9.45
63,2022-08-19,110.0,10.2
64,2022-08-19,112.0,
65,2022-08-19,115.0,12.11
66,2022-08-19,117.0,
67,2022-08-19,120.0,15.65
68,2022-08-19,122.0,16
69,2022-08-19,125.0,
70,2022-08-19,127.0,
71,2022-08-19,130.0,20.15
72,2022-08-19,132.0,
73,2022-08-19,135.0,
74,2022-08-19,137.0,
75,2022-08-19,140.0,
76,2022-08-19,142.0,
77,2022-08-19,145.0,
78,2022-08-19,147.0,
79,2022-08-19,150.0,
80,2022-08-19,152.0,
81,2022-08-19,155.0,
82,2022-08-19,157.0,
83,2022-08-19,160.0,
84,2022-08-19,162.0,
85,2022-08-19,165.0,
86,2022-08-19,167.0,
87,2022-08-19,170.0,
88,2022-08-19,175.0,
89,2022-08-19,180.0,
90,2022-08-19,185.0,
91,2022-08-19,190.0,
92,2022-08-19,195.0,
93,2022-08-19,200.0,
94,2022-08-19,205.0,
95,2022-08-19,210.0,
96,2022-08-19,215.0,
97,2022-08-19,220.0,
98,2022-08-19,225.0,
99,2022-08-20,45.0,
100,2022-08-20,50.0,
101,2022-08-20,52.0,
102,2022-08-20,53.0,
103,2022-08-20,54.0,
104,2022-08-20,55.0,
105,2022-08-20,56.0,
106,2022-08-20,57.0,
107,2022-08-20,57.5,
108,2022-08-20,58.0,
109,2022-08-20,59.0,
110,2022-08-20,60.0,
111,2022-08-20,61.0,
112,2022-08-20,62.0,
113,2022-08-20,62.5,
114,2022-08-20,63.0,
115,2022-08-20,64.0,
116,2022-08-20,65.0,
117,2022-08-20,66.0,
118,2022-08-20,67.0,
119,2022-08-20,67.5,
120,2022-08-20,68.0,
121,2022-08-20,69.0,
122,2022-08-20,70.0,
123,2022-08-20,71.0,
124,2022-08-20,72.0,
125,2022-08-20,72.5,
126,2022-08-20,73.0,
127,2022-08-20,74.0,
128,2022-08-20,75.0,
129,2022-08-20,76.0,
130,2022-08-20,77.0,
131,2022-08-20,77.5,
132,2022-08-20,78.0,
133,2022-08-20,79.0,
134,2022-08-20,80.0,
135,2022-08-20,81.0,
136,2022-08-20,82.0,
137,2022-08-20,82.5,
138,2022-08-20,83.0,
139,2022-08-20,84.0,
140,2022-08-20,85.0,
141,2022-08-20,86.0,
142,2022-08-20,87.0,
143,2022-08-20,87.5,
144,2022-08-20,88.0,
145,2022-08-20,89.0,
146,2022-08-20,90.0,
147,2022-08-20,91.0,
148,2022-08-20,92.0,
149,2022-08-20,92.5,
150,2022-08-20,93.0,
151,2022-08-20,94.0,
152,2022-08-20,95.0,
153,2022-08-20,96.0,
154,2022-08-20,97.0,
155,2022-08-20,97.5,
156,2022-08-20,98.0,
157,2022-08-20,99.0,
158,2022-08-20,100.0,
159,2022-08-20,102.0,
160,2022-08-20,105.0,
161,2022-08-20,107.0,
162,2022-08-20,110.0,
163,2022-08-20,112.0,
164,2022-08-20,115.0,
165,2022-08-20,117.0,
166,2022-08-20,120.0,
167,2022-08-20,122.0,
168,2022-08-20,125.0,
169,2022-08-20,127.0,
170,2022-08-20,130.0,
171,2022-08-20,132.0,
172,2022-08-20,135.0,
173,2022-08-20,137.0,
174,2022-08-20,140.0,
175,2022-08-20,142.0,
176,2022-08-20,145.0,
177,2022-08-20,147.0,
178,2022-08-20,150.0,
179,2022-08-20,152.0,
180,2022-08-20,155.0,
181,2022-08-20,157.0,
182,2022-08-20,160.0,
183,2022-08-20,162.0,
184,2022-08-20,165.0,
185,2022-08-20,167.0,
186,2022-08-20,170.0,
187,2022-08-20,175.0,
188,2022-08-20,180.0,
189,2022-08-20,185.0,
190,2022-08-20,190.0,
191,2022-08-20,195.0,
192,2022-08-20,200.0,
193,2022-08-20,205.0,
194,2022-08-20,210.0,
195,2022-08-20,215.0,
196,2022-08-20,220.0,
197,2022-08-20,225.0,
198,2022-08-21,45.0,
199,2022-08-21,50.0,
200,2022-08-21,52.0,
201,2022-08-21,53.0,
202,2022-08-21,54.0,
203,2022-08-21,55.0,
204,2022-08-21,56.0,
205,2022-08-21,57.0,
206,2022-08-21,57.5,
207,2022-08-21,58.0,
208,2022-08-21,59.0,
