,date,value
0,2022-10-31,83.8
1,2022-10-28,83.67
2,2022-10-27,85.14
3,2022-10-26,87.0
4,2022-10-25,87.64
5,2022-10-24,87.08
6,2022-10-21,86.03
7,2022-10-20,87.19
8,2022-10-19,86.65
9,2022-10-18,86.87
10,2022-10-17,85.66
11,2022-10-14,84.94
12,2022-10-13,84.47
13,2022-10-12,85.65
14,2022-10-11,85.89
15,2022-10-10,86.52
16,2022-10-07,86.34
17,2022-10-06,86.93
18,2022-10-05,87.25
19,2022-10-04,91.44
20,2022-10-03,88.72
21,2022-09-30,89.45
22,2022-09-29,88.89
23,2022-09-28,89.49
24,2022-09-27,91.26
25,2022-09-26,91.28
26,2022-09-23,91.24
27,2022-09-22,91.9
28,2022-09-21,93.24
29,2022-09-20,93.76
30,2022-09-19,93.42
31,2022-09-16,93.06
32,2022-09-15,94.25
33,2022-09-12,97.53
34,2022-09-09,97.21
35,2022-09-08,96.73
36,2022-09-07,96.06
37,2022-09-06,96.07
38,2022-09-05,96.36
39,2022-09-02,97.4
40,2022-09-01,96.23
41,2022-08-31,96.94
42,2022-08-30,96.75
43,2022-08-29,97.06
44,2022-08-26,98.6
45,2022-08-25,99.24
46,2022-08-24,98.62
47,2022-08-23,98.67
48,2022-08-22,98.73
49,2022-08-19,99.63
